model,model_revision,precision,lang,item_id,pred,gold,correct
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Accordion/Right_hand#1,4,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Accordion/Right_hand#2,4,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/All_About_Converting_From_Several_Video_Formats_To_DVD#1,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/All_About_Converting_From_Several_Video_Formats_To_DVD#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/American_Revolution/The_Battles_of_Trenton_and_Princeton#2,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/American_Revolution/The_Declaration_of_Independence#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/American_Revolution/The_Declaration_of_Independence#2,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/American_Revolution/Ticonderoga_and_Bunker_Hill#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/American_Revolution/Ticonderoga_and_Bunker_Hill#2,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Ancient_China/Government#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,"https://en.wikibooks.org/wiki/Animal_Behavior/Army_Ants_-_Social_Hierarchy,_Life_Cycles,_and_Migration#1",3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,"https://en.wikibooks.org/wiki/Animal_Behavior/Army_Ants_-_Social_Hierarchy,_Life_Cycles,_and_Migration#2",4,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Animal_Behavior/Biological_Rhythms#1,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Animal_Behavior/Population_Genetics#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Animal_Behavior/Population_Genetics#2,3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Applied_Ecology/Nature_Tourism#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Applied_Ecology/New_Societies_and_Cultures#1,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Basics#1,4,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Basics#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Computer#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Computer#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Blended_Learning_in_Grades_9-12#1,4,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Blended_Learning_in_Grades_9-12#2,1,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Synchronous_and_asynchronous_communication_methods#1,3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Synchronous_and_asynchronous_communication_methods#2,1,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Castles_of_England/The_Development_of_the_Castle#1,3,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Castles_of_England/The_Development_of_the_Castle#2,4,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Castles_of_England/Tudor_Castles#1,4,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Castles_of_England/Tudor_Castles#2,3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Introduction#1,3,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Introduction#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Nutrition#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Nutrition#2,3,2,0
